customer_id,churn_probability,risk_band,expected_retention_value,recommended_action,reason_codes,decision,churn_30d
SYN-004495,0.9992069483302037,Critical,11367.80706473533,"Complaint recovery: assign owner, resolve + follow-up call within 48h",Unresolved service issues (5 open),FLAG FOR REVIEW (human approval required),0
SYN-002640,0.997868296972827,Critical,26153.926608678696,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (4 open), High failed-transaction rate (13.4%), Single-product relationship",FLAG FOR REVIEW (human approval required),0
SYN-003443,0.9976650723754245,Critical,13993.950577818221,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (4 open), High failed-transaction rate (16.7%), Single-product relationship",FLAG FOR REVIEW (human approval required),0
SYN-002222,0.9968109766493312,Critical,5707.234928385334,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (23.6%), Inactivity (23 days since last txn)",FLAG FOR REVIEW (human approval required),0
SYN-001181,0.9946179620158663,Critical,6484.4225038725235,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), Single-product relationship",FLAG FOR REVIEW (human approval required),1
SYN-000803,0.9941411433640389,Critical,6207.203481572632,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (1 open), High failed-transaction rate (16.8%), Inactivity (75 days since last txn)",FLAG FOR REVIEW (human approval required),1
SYN-001538,0.9929682338923074,Critical,12221.907461616507,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (14.3%), Inactivity (31 days since last txn)",FLAG FOR REVIEW (human approval required),1
SYN-005808,0.9926628195482844,Critical,67297.83680360025,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (15.8%), Inactivity (25 days since last txn)",FLAG FOR REVIEW (human approval required),1
SYN-002877,0.9919517532502399,Critical,12341.13183223388,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), High failed-transaction rate (26.7%), Inactivity (50 days since last txn)",FLAG FOR REVIEW (human approval required),0
SYN-004223,0.9916974273641158,Critical,12512.498705387326,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (33.8%), Downtime exposure (4 days)",FLAG FOR REVIEW (human approval required),0
SYN-002274,0.9912403152055038,Critical,8002.151088498571,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (19.2%), Single-product relationship",FLAG FOR REVIEW (human approval required),1
SYN-003042,0.990760069253938,Critical,34680.96260544231,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (23.5%), Single-product relationship",FLAG FOR REVIEW (human approval required),1
SYN-001654,0.9901573315322971,Critical,4807.83688681976,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (18.0%), Declining engagement (<=2 txns / 30d)",FLAG FOR REVIEW (human approval required),0
SYN-004900,0.9895862420217976,Critical,26232.855082822665,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (26.6%), Downtime exposure (3 days)",FLAG FOR REVIEW (human approval required),1
SYN-001283,0.9891375043892457,Critical,22514.604274094796,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (48.4%), Single-product relationship",FLAG FOR REVIEW (human approval required),0
SYN-002473,0.9890782692590723,Critical,29836.314013277475,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (35.9%), Single-product relationship",FLAG FOR REVIEW (human approval required),1
SYN-000580,0.9884597721919285,Critical,16303.072351316481,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (24.2%)",FLAG FOR REVIEW (human approval required),0
SYN-003836,0.9882487311209888,Critical,22059.88927987362,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), Downtime exposure (3 days), Single-product relationship",FLAG FOR REVIEW (human approval required),1
SYN-000442,0.9880759013856455,Critical,42434.67638600456,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), High failed-transaction rate (22.5%), Inactivity (50 days since last txn)",FLAG FOR REVIEW (human approval required),1
SYN-003942,0.9867642699804317,Critical,25495.151891100813,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), High failed-transaction rate (14.1%), Downtime exposure (5 days)",FLAG FOR REVIEW (human approval required),0
SYN-001624,0.9854859027727872,Critical,-1500.0,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (15.6%), Single-product relationship",FLAG FOR REVIEW (human approval required),0
SYN-002195,0.9831098312061849,Critical,22167.332005416978,"Complaint recovery: assign owner, resolve + follow-up call within 48h",Unresolved service issues (3 open),FLAG FOR REVIEW (human approval required),1
SYN-004996,0.982937959088012,Critical,5482.312079106181,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (21.3%), Single-product relationship",FLAG FOR REVIEW (human approval required),1
SYN-004462,0.9826821673914165,Critical,50920.263868374015,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (11.4%), Single-product relationship",FLAG FOR REVIEW (human approval required),0
SYN-002884,0.9824552503508976,Critical,55633.15736624216,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), Downtime exposure (3 days), Single-product relationship",FLAG FOR REVIEW (human approval required),0
SYN-001517,0.9816111493103202,Critical,22378.44950158638,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (25.4%)",FLAG FOR REVIEW (human approval required),1
SYN-005332,0.9812695126377192,Critical,13458.796269588562,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), High failed-transaction rate (30.7%), Single-product relationship",FLAG FOR REVIEW (human approval required),1
SYN-005463,0.9807681856305426,Critical,35875.07969112221,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (9.8%), Single-product relationship",FLAG FOR REVIEW (human approval required),0
SYN-000725,0.980455793359092,Critical,1675.809067106335,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), High failed-transaction rate (12.3%), Inactivity (27 days since last txn)",FLAG FOR REVIEW (human approval required),0
SYN-005645,0.9795038612986066,Critical,19048.07363123627,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (20.5%), Single-product relationship",FLAG FOR REVIEW (human approval required),0
SYN-000730,0.9794352400468167,Critical,24518.484124678977,"Complaint recovery: assign owner, resolve + follow-up call within 48h",Unresolved service issues (3 open),FLAG FOR REVIEW (human approval required),0
SYN-004203,0.9789788450533051,Critical,42360.48922504902,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (8.5%), Single-product relationship",FLAG FOR REVIEW (human approval required),0
SYN-005117,0.9781531677730851,Critical,13649.115395907704,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), Inactivity (26 days since last txn), Single-product relationship",FLAG FOR REVIEW (human approval required),0
SYN-003539,0.9781052624217641,Critical,59999.80863476734,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), Single-product relationship",FLAG FOR REVIEW (human approval required),1
SYN-002213,0.9772737051694484,Critical,45455.37511030935,"Complaint recovery: assign owner, resolve + follow-up call within 48h",Unresolved service issues (3 open),FLAG FOR REVIEW (human approval required),1
SYN-004750,0.9758897098442714,Critical,32734.501348525722,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), Downtime exposure (3 days), Inactivity (23 days since last txn)",FLAG FOR REVIEW (human approval required),1
SYN-001585,0.975584384684156,Critical,21677.602112635384,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), High failed-transaction rate (40.1%), Single-product relationship",FLAG FOR REVIEW (human approval required),1
