age,tenure_months,num_products,is_active_member,balance,estimated_clv,txn_avg_90d,txn_count_30d,app_sessions_30d,days_since_last_txn,failed_txn_rate,num_complaints,num_unresolved,downtime_exposure,fraud_flag,monthly_fee,primary_channel,region_group,churn_probability,risk_band,expected_retention_value,reason_codes,recommended_action,decision,suppression_note,customer_id,churn_30d
22.0,74.0,1.0,1.0,91233.97,103460.44,18.8,7.0,16.0,1.0,0.062,0.0,0.0,2.0,0.0,0.0,Internet,Other,0.14455527199711296,Low,2238.9380112852464,Single-product relationship,"Needs-based review: suitability check, no automatic sale",No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000000,0
58.0,99.0,1.0,1.0,283518.02,303939.68,14.7,8.0,10.0,11.0,0.155,2.0,0.0,2.0,0.0,500.0,Agent,Other,0.5807079198291244,High,42625.04483158243,"Repeated complaints (2), High failed-transaction rate (15.5%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000001,0
52.0,77.0,2.0,0.0,8353.28,135978.56,7.1,7.0,16.0,25.0,0.186,1.0,0.0,1.0,0.0,0.0,USSD,Lagos-Island,0.5350631409129596,High,16689.278852605334,"High failed-transaction rate (18.6%), Inactivity (25 days since last txn)",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000002,0
40.0,71.0,1.0,1.0,137687.03,68363.44,13.8,9.0,12.0,9.0,0.247,3.0,1.0,1.0,0.0,,App,Lagos-Mainland,0.8761725303175942,Critical,13474.542051503759,"Unresolved service issues (1 open), High failed-transaction rate (24.7%), Single-product relationship","Complaint recovery: assign owner, resolve + follow-up call within 48h",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000003,0
40.0,56.0,1.0,,224434.0,37084.19,8.7,7.0,8.0,13.0,0.037,0.0,0.0,0.0,0.0,500.0,Branch,Lagos-Island,0.3158232137807813,Low,1428.0120165642784,Single-product relationship,"Needs-based review: suitability check, no automatic sale",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000004,1
62.0,30.0,1.0,0.0,101649.93,179448.85,10.7,6.0,10.0,2.0,0.116,0.0,,2.0,0.0,50.0,USSD,Lagos-Island,0.250715944514406,Low,9747.67197994349,"High failed-transaction rate (11.6%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000005,0
22.0,34.0,,0.0,159614.01,48153.28,13.3,11.0,10.0,0.0,0.074,2.0,0.0,1.0,0.0,100.0,Internet,Lagos-Island,0.350002480629321,Low,2713.4418626095676,Repeated complaints (2),Monitor: no contact unless risk persists next cycle,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000006,1
54.0,89.0,3.0,1.0,52522.52,149793.11,1.1,6.0,12.0,2.0,0.154,0.0,0.0,0.0,0.0,500.0,USSD,Lagos-Mainland,0.13824108829616039,Low,3676.890636416616,High failed-transaction rate (15.4%),Assisted support: service-reliability check + fee goodwill review,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000007,0
,9.0,2.0,1.0,41912.77,118247.51,3.0,11.0,10.0,7.0,0.038,0.0,0.0,1.0,0.0,500.0,Branch,Lagos-Mainland,0.15470386928308086,Low,3073.336832522449,Elevated risk pattern (review engagement/friction signals),Monitor: no contact unless risk persists next cycle,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000008,0
22.0,11.0,3.0,1.0,68805.89,31568.55,9.1,9.0,6.0,6.0,0.109,0.0,0.0,3.0,0.0,100.0,USSD,Lagos-Mainland,0.2029483381758033,Low,101.69619027993872,"High failed-transaction rate (10.9%), Downtime exposure (3 days)",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000009,0
45.0,48.0,2.0,1.0,71459.03,114940.27,6.1,13.0,13.0,12.0,0.061,0.0,0.0,2.0,0.0,100.0,USSD,Lagos-Mainland,0.10417096215623649,Low,1493.359629099401,Elevated risk pattern (review engagement/friction signals),Monitor: no contact unless risk persists next cycle,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000010,0
68.0,93.0,2.0,0.0,183103.49,128775.15,9.9,7.0,6.0,7.0,0.19,0.0,0.0,2.0,0.0,250.0,,Other,0.40644753559101415,Medium,11585.085590715797,High failed-transaction rate (19.0%),Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000011,0
56.0,79.0,,1.0,293543.99,75422.34,11.0,4.0,10.0,15.0,0.102,1.0,1.0,2.0,0.0,50.0,App,Lagos-Mainland,0.7891922565625618,Critical,13380.68167495719,"Unresolved service issues (1 open), High failed-transaction rate (10.2%)","Complaint recovery: assign owner, resolve + follow-up call within 48h",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000012,0
57.0,71.0,2.0,0.0,194813.74,72407.58,7.1,6.0,12.0,1.0,0.157,,0.0,1.0,0.0,50.0,App,Lagos-Island,0.2626899636560219,Low,3255.186139655124,High failed-transaction rate (15.7%),Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000013,0
55.0,64.0,1.0,1.0,200304.97,78375.24,8.2,10.0,6.0,1.0,0.024,1.0,0.0,1.0,0.0,0.0,App,Lagos-Island,0.18119347338944378,Low,2050.270490832818,Single-product relationship,"Needs-based review: suitability check, no automatic sale",No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000014,0
58.0,14.0,1.0,0.0,99453.81,176739.06,5.2,6.0,10.0,1.0,0.011,0.0,0.0,0.0,,0.0,App,Lagos-Mainland,0.1472022744832041,Low,5004.09790550587,Single-product relationship,"Needs-based review: suitability check, no automatic sale",No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000015,0
