feature,importance_mean,importance_std
num_unresolved,0.08999944021495739,0.01424288586496511
num_complaints,0.052465853112404905,0.013720821281558007
txn_count_30d,0.01986957008508734,0.003393486461686923
days_since_last_txn,0.018987908643081086,0.008866840460197607
downtime_exposure,0.0180950515002239,0.004258645422080877
failed_txn_rate,0.016396103896103888,0.006067148004894008
is_active_member,0.009614308105687374,0.0037623218924017978
fraud_flag,0.006196820420958371,0.0018692629943553836
num_products,0.004027653381101693,0.0029203052679528255
primary_channel,0.0036805866547245936,0.0017630118648930553
estimated_clv,0.0005317957904165116,0.0005359777352111856
tenure_months,0.00040304523063139364,0.0004172558252034053
region_group,0.00020712046574118405,0.0009535425145484744
balance,8.116883116879859e-05,0.0015245640551580422
txn_avg_90d,-0.00028269144648458423,0.0003810446546115109
app_sessions_30d,-0.00038345275414237713,0.0014109359510393847
age,-0.0014386475593372028,0.0012801954705412447
monthly_fee,-0.002854903716972701,0.003537701962732729
