item,N,mean,sd
CHD1,404,3.13,0.91
CHD2,403,2.87,0.91
CHD3,403,3.41,0.94
CHD4,404,2.65,0.9
CHD5,400,2.96,0.96
CHD6,409,3.17,0.9
CHD7,406,2.55,0.86
CHD8,405,3.04,0.93
CHD9,397,3.34,0.95
CHD10,408,2.75,0.87
AIA1,407,3.14,0.96
AIA2,403,2.76,0.99
AIA3,407,3.39,0.97
AIA4,400,2.57,0.95
AIA5,407,2.94,0.92
AIA6,402,3.08,0.96
AIA7,403,3.23,0.91
AIA8,402,2.87,0.96
PAC1,405,2.8,0.97
PAC2,394,3.21,0.99
PAC3,404,2.64,0.97
PAC4,404,3.46,0.92
PAC5,399,2.93,0.92
PAC6,407,3.27,0.98
PAC7,403,3.01,0.97
PAC8,404,2.91,0.91
MLU1,406,3.34,0.9
MLU2,401,2.83,0.93
MLU3,404,3.04,0.95
MLU4,403,2.65,0.89
MLU5,403,3.37,0.9
MLU6,409,2.99,0.96
MLU7,407,3.1,0.92
MLU8,404,2.77,0.95
MLU9,404,3.14,0.91
RSO1,401,3.29,0.94
RSO2,406,2.8,0.91
RSO3,401,3.06,0.91
RSO4,401,2.68,0.94
RSO5,400,3.37,0.94
RSO6,405,2.96,0.99
RSO7,405,3.1,0.94
RSO8,406,2.76,0.95
CRE1,403,2.95,0.88
CRE2,401,3.27,0.84
CRE3,408,2.53,0.87
CRE4,401,3.45,0.89
CRE5,403,3.11,0.88
CRE6,400,2.88,0.85
IMP1,404,3.1,0.96
IMP2,406,2.62,0.91
IMP3,403,3.35,0.9
IMP4,407,2.88,0.94
IMP5,400,3.17,0.89
IMP6,406,2.94,0.91
IMP7,405,3.44,0.89
IMP8,402,2.73,0.91
