Respondent_ID,Valid_Record,Consent,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,CHD1,CHD2,CHD3,CHD4,CHD5,CHD6,CHD7,CHD8,CHD9,CHD10,AIA1,AIA2,AIA3,AIA4,AIA5,AIA6,AIA7,AIA8,PAC1,PAC2,PAC3,PAC4,PAC5,PAC6,PAC7,PAC8,MLU1,MLU2,MLU3,MLU4,MLU5,MLU6,MLU7,MLU8,MLU9,RSO1,RSO2,RSO3,RSO4,RSO5,RSO6,RSO7,RSO8,CRE1,CRE2,CRE3,CRE4,CRE5,CRE6,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,CHD_Mean,AIA_Mean,PAC_Mean,MLU_Mean,RSO_Mean,CRE_Mean,IMP_Mean
R001,No,No,Male,18-24,Master's,Commercial bank,Customer Experience/Service,2-5,Yes,4,Yes,Yes,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,3.9,2.25,2.375,1.2222222222222223,1.375,3.5,3.875
R002,No,No,Male,35-44,Master's,Commercial bank,Risk/Compliance,11-15,Yes,0,No,Yes,2.0,2.0,3.0,2.0,2.0,3.0,1.0,,2.0,2.0,2.0,1.0,2.0,1.0,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,2.111111111111111,1.7142857142857142,1.625,2.5555555555555554,2.0,2.8,4.375
R003,No,No,Female,35-44,Bachelor/HND,Fintech/payment provider,Customer Experience/Service,6-10,Yes,3,Yes,Yes,2.0,1.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,,2.0,4.0,2.0,2.5,2.5,2.7142857142857144,3.4444444444444446,2.5,2.3333333333333335,2.2857142857142856
R004,No,No,Male,35-44,Bachelor/HND,Commercial bank,Relationship/Marketing,2-5,Yes,1,No,Yes,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,,3.0,3.0,2.0,2.0,2.0,3.6,4.25,3.75,3.7777777777777777,3.125,2.8333333333333335,2.4285714285714284
R005,No,No,Male,25-34,Bachelor/HND,Microfinance bank,Risk/Compliance,6-10,Yes,0,Do not know,Yes,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,1.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,3.3,2.0,2.5714285714285716,2.888888888888889,2.75,2.6666666666666665,3.875
R006,No,Yes,Female,25-34,Bachelor/HND,Insurance/investment/other licensed financial institution,Risk/Compliance,2-5,Yes,3,Yes,No,4.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.9,4.125,3.125,3.7777777777777777,3.125,3.6,2.625
R007,No,Yes,Female,35-44,Bachelor/HND,Digital bank/neobank,Relationship/Marketing,2-5,Yes,0,Yes,No,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,3.6,3.625,3.5,2.888888888888889,3.875,2.6666666666666665,2.5
R008,No,Yes,Female,25-34,Bachelor/HND,Digital bank/neobank,Relationship/Marketing,6-10,Yes,3,No,No,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.9,3.125,3.5,4.0,3.75,3.8333333333333335,3.125
R009,Yes,Yes,Male,25-34,Master's,Microfinance bank,Relationship/Marketing,6-10,Yes,2,Yes,Yes,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.25,3.25,3.7777777777777777,3.625,2.1666666666666665,3.75
R010,Yes,Yes,Prefer not to say,18-24,Master's,Commercial bank,IT/Technology,2-5,Yes,3,No,Yes,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,3.0,2.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.3,3.125,2.75,3.2222222222222223,3.0,4.166666666666667,3.375
