Respondent_ID,Valid_Record,Consent,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,CHD1,CHD2,CHD3,CHD4,CHD5,CHD6,CHD7,CHD8,CHD9,CHD10,AIA1,AIA2,AIA3,AIA4,AIA5,AIA6,AIA7,AIA8,PAC1,PAC2,PAC3,PAC4,PAC5,PAC6,PAC7,PAC8,MLU1,MLU2,MLU3,MLU4,MLU5,MLU6,MLU7,MLU8,MLU9,RSO1,RSO2,RSO3,RSO4,RSO5,RSO6,RSO7,RSO8,CRE1,CRE2,CRE3,CRE4,CRE5,CRE6,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,CHD_Mean,AIA_Mean,PAC_Mean,MLU_Mean,RSO_Mean,CRE_Mean,IMP_Mean
P001,No,Yes,Male,25-34,Postgraduate Diploma,Commercial bank,Customer Experience/Service,6-10,Yes,2,Yes,No,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.4,3.625,3.125,2.7777777777777777,4.375,3.0,2.875
P002,No,Yes,Female,18-24,Bachelor/HND,Insurance/investment/other licensed financial institution,Digital Banking/Product,2-5,Yes,1,No,No,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.5,3.25,3.4285714285714284,3.0,3.375,3.8333333333333335,3.5
P003,No,Yes,Female,55 or above,Postgraduate Diploma,Commercial bank,Customer Experience/Service,2-5,Yes,0,No,No,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.6,3.125,3.375,3.25,3.25,2.0,2.75
P004,No,Yes,Female,45-54,Bachelor/HND,Microfinance bank,Management/Strategy,2-5,Yes,2,Yes,No,4.0,3.0,5.0,4.0,4.0,5.0,,3.0,4.0,3.0,3.0,4.0,,4.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.888888888888889,3.5714285714285716,3.5714285714285716,3.888888888888889,3.75,3.6,2.75
P005,No,Yes,Male,55 or above,Master's,Commercial bank,Risk/Compliance,2-5,Yes,0,No,No,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,2.5,2.75,2.625,1.4444444444444444,2.0,3.3333333333333335,3.0
P006,No,Yes,Female,35-44,Bachelor/HND,Commercial bank,Digital Banking/Product,Less than 2,Yes,4,Yes,No,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,,3.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,,2.5,3.5714285714285716,3.375,3.7777777777777777,2.875,3.0,2.857142857142857
P007,No,Yes,Male,25-34,Diploma/OND/NCE,Digital bank/neobank,IT/Technology,16 or more,Yes,2,Yes,No,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,,2.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,2.7,2.375,2.875,3.125,2.625,3.6666666666666665,3.25
P008,No,Yes,Male,18-24,Bachelor/HND,Commercial bank,Relationship/Marketing,Less than 2,Yes,2,Yes,No,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,,4.0,3.0,2.3,1.375,2.0,2.6666666666666665,1.375,3.6666666666666665,3.4285714285714284
P009,No,Yes,Male,25-34,Bachelor/HND,Microfinance bank,IT/Technology,Less than 2,Yes,1,No,No,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,,1.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,4.1,2.5,2.625,3.5555555555555554,2.0,2.8333333333333335,3.5
P010,No,Yes,Female,25-34,Bachelor/HND,Merchant bank,IT/Technology,Less than 2,Yes,0,Yes,No,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.2,2.0,3.625,3.25,3.375,2.3333333333333335,2.625
